source,rule,r1,r2,r3,std_support,std_body,std_confidence,pca_support,pca_body,pca_confidence
inductive_inverse,"brotherOf(X,Y) -> brotherOf(Y,X)",brotherOf,brotherOf,,262,570,0.45964912280701753,262,262,1.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> secondUncleOf(Y,X)",boyFirstCousinOnceRemovedOf,secondUncleOf,,82,180,0.45555555555555555,82,82,1.0
inductive_inverse,"secondAuntOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",secondAuntOf,girlFirstCousinOnceRemovedOf,,77,175,0.44,77,77,1.0
inductive_inverse,"fatherOf(X,Y) -> daughterOf(Y,X)",fatherOf,daughterOf,,316,733,0.4311050477489768,316,370,0.8540540540540541
inductive_inverse,"nephewOf(X,Y) -> uncleOf(Y,X)",nephewOf,uncleOf,,216,514,0.42023346303501946,216,216,1.0
inductive_inverse,"boySecondCousinOf(X,Y) -> boySecondCousinOf(Y,X)",boySecondCousinOf,boySecondCousinOf,,28,68,0.4117647058823529,28,28,1.0
inductive_inverse,"fatherOf(X,Y) -> sonOf(Y,X)",fatherOf,sonOf,,292,733,0.39836289222373805,292,363,0.8044077134986226
inductive_inverse,"sonOf(X,Y) -> motherOf(Y,X)",sonOf,motherOf,,220,600,0.36666666666666664,220,264,0.8333333333333334
inductive_inverse,"daughterOf(X,Y) -> motherOf(Y,X)",daughterOf,motherOf,,224,628,0.35668789808917195,224,268,0.835820895522388
inductive_inverse,"girlSecondCousinOf(X,Y) -> girlSecondCousinOf(Y,X)",girlSecondCousinOf,girlSecondCousinOf,,22,62,0.3548387096774194,22,22,1.0
inductive_inverse,"motherOf(X,Y) -> daughterOf(Y,X)",motherOf,daughterOf,,224,733,0.30559345156889495,224,370,0.6054054054054054
inductive_inverse,"motherOf(X,Y) -> sonOf(Y,X)",motherOf,sonOf,,220,733,0.30013642564802184,220,363,0.6060606060606061
inductive_inverse,"auntOf(X,Y) -> auntOf(Y,X)",auntOf,auntOf,,0,556,0.0,0,106,0.0
inductive_inverse,"auntOf(X,Y) -> boyCousinOf(Y,X)",auntOf,boyCousinOf,,0,556,0.0,0,219,0.0
inductive_inverse,"auntOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",auntOf,boyFirstCousinOnceRemovedOf,,0,556,0.0,0,73,0.0
inductive_inverse,"auntOf(X,Y) -> boySecondCousinOf(Y,X)",auntOf,boySecondCousinOf,,0,556,0.0,0,36,0.0
inductive_inverse,"auntOf(X,Y) -> brotherOf(Y,X)",auntOf,brotherOf,,0,556,0.0,0,236,0.0
inductive_inverse,"auntOf(X,Y) -> daughterOf(Y,X)",auntOf,daughterOf,,0,556,0.0,0,258,0.0
inductive_inverse,"auntOf(X,Y) -> fatherOf(Y,X)",auntOf,fatherOf,,0,556,0.0,0,112,0.0
inductive_inverse,"auntOf(X,Y) -> girlCousinOf(Y,X)",auntOf,girlCousinOf,,0,556,0.0,0,200,0.0
inductive_inverse,"auntOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",auntOf,girlFirstCousinOnceRemovedOf,,0,556,0.0,0,45,0.0
inductive_inverse,"auntOf(X,Y) -> girlSecondCousinOf(Y,X)",auntOf,girlSecondCousinOf,,0,556,0.0,0,26,0.0
inductive_inverse,"auntOf(X,Y) -> granddaughterOf(Y,X)",auntOf,granddaughterOf,,0,556,0.0,0,258,0.0
inductive_inverse,"auntOf(X,Y) -> grandfatherOf(Y,X)",auntOf,grandfatherOf,,0,556,0.0,0,43,0.0
inductive_inverse,"auntOf(X,Y) -> grandmotherOf(Y,X)",auntOf,grandmotherOf,,0,556,0.0,0,20,0.0
inductive_inverse,"auntOf(X,Y) -> grandsonOf(Y,X)",auntOf,grandsonOf,,0,556,0.0,0,298,0.0
inductive_inverse,"auntOf(X,Y) -> greatAuntOf(Y,X)",auntOf,greatAuntOf,,0,556,0.0,0,36,0.0
inductive_inverse,"auntOf(X,Y) -> greatGranddaughterOf(Y,X)",auntOf,greatGranddaughterOf,,0,556,0.0,0,178,0.0
inductive_inverse,"auntOf(X,Y) -> greatGrandfatherOf(Y,X)",auntOf,greatGrandfatherOf,,0,556,0.0,0,19,0.0
inductive_inverse,"auntOf(X,Y) -> greatGrandmotherOf(Y,X)",auntOf,greatGrandmotherOf,,0,556,0.0,0,5,0.0
inductive_inverse,"auntOf(X,Y) -> greatGrandsonOf(Y,X)",auntOf,greatGrandsonOf,,0,556,0.0,0,212,0.0
inductive_inverse,"auntOf(X,Y) -> greatUncleOf(Y,X)",auntOf,greatUncleOf,,0,556,0.0,0,55,0.0
inductive_inverse,"auntOf(X,Y) -> motherOf(Y,X)",auntOf,motherOf,,0,556,0.0,0,76,0.0
inductive_inverse,"auntOf(X,Y) -> secondAuntOf(Y,X)",auntOf,secondAuntOf,,0,556,0.0,0,119,0.0
inductive_inverse,"auntOf(X,Y) -> secondUncleOf(Y,X)",auntOf,secondUncleOf,,0,556,0.0,0,102,0.0
inductive_inverse,"auntOf(X,Y) -> sisterOf(Y,X)",auntOf,sisterOf,,0,556,0.0,0,208,0.0
inductive_inverse,"auntOf(X,Y) -> sonOf(Y,X)",auntOf,sonOf,,0,556,0.0,0,298,0.0
inductive_inverse,"auntOf(X,Y) -> uncleOf(Y,X)",auntOf,uncleOf,,0,556,0.0,0,147,0.0
inductive_inverse,"boyCousinOf(X,Y) -> auntOf(Y,X)",boyCousinOf,auntOf,,0,391,0.0,0,73,0.0
